Canonical,Aliases,DLGFiles,HasCanonicalVoice,Gender,AgeBand,Accent,Archetype,Energy,Timbre,Notes,VoicePreset,RefFile,Status,Total_Lines,VO_Lines,No_VO_Yet
Cernd,CERND,BCERND.DLG|BCERND25.DLG|CERND.DLG|CERND25A.DLG|CERND25J.DLG|CERND25P.DLG|CERNDJ.DLG|CERNDP.DLG,Yes,M,Mature,Neutral,Philosophical,Low,Deep,Druid - contemplative and detached (85 BG2 audio files),male_deep,,Draft,463,0,463
Mazzy,MAZZY,BMAZZY.DLG|BMAZZY25.DLG|MAZZY.DLG|MAZZY1.DLG|MAZZY2.DLG|MAZZY25A.DLG|MAZZY25J.DLG|MAZZY25P.DLG|MAZZY3.DLG|MAZZY4.DLG|MAZZY5.DLG|MAZZY6.DLG|MAZZYJ.DLG|MAZZYP.DLG|MAZZYP2.DLG,Yes,F,Adult,Neutral,Heroic,High,Strong,Halfling paladin - brave and determined (93 BG2 audio files),female_strong,,Draft,587,0,587
Valygar,VALYGAR,VALYGAR.DLG|VALYGARJ.DLG|VALYGARP.DLG|VALYGARX.DLG,Yes,M,Adult,Neutral,Stoic,Low,Flat,Ranger - withdrawn and anti-magic (90+ BG2 audio files as VALYGA*),male_flat,,Draft,222,5,217
Yoshimo,YOSHIMO,YOSHIMO.DLG|YOSHIMOX.DLG,Yes,M,Adult,Asian-inspired,Charming,Medium,Smooth,Bounty hunter - friendly but secretive (72 BG2 audio files as YOSHIM*),male_smooth,,Draft,66,59,7
Sarevok,SAREVOK,SAREVOK.DLG,Yes,M,Adult,Neutral,Menacing,Low,Deep,Former villain - dark and brooding (89 BG2 audio files as SAREVO*),male_menacing,,Draft,0,0,0
Rielev,RIELEV,RIELEV.DLG,Yes,M,Adult,Neutral,Dying,Low,Deep,Dying prisoner in Irenicus dungeon - exposition NPC,male_deep,refs/rielev_ref.wav,Locked,23,20,3
IDRYAD3,DRYAD,IDRYAD3.DLG,No,F,Adult,Neutral,Gentle,Low,Gentle,Dryad in the forest area requesting acorns,female_gentle,refs/dryad_ref.wav,Locked,20,20,0
IDRYAD1,DRYAD,IDRYAD1.DLG,No,F,Adult,Neutral,Gentle,Low,Gentle,Dryad in the forest area requesting acorns,female_gentle,refs/dryad_ref.wav,Locked,18,17,1
IDRYAD2,DRYAD,IDRYAD2.DLG,No,F,Adult,Neutral,Gentle,Low,Gentle,Dryad in the forest area requesting acorns,female_gentle,refs/dryad_ref.wav,Locked,17,17,0
DRYAD,DRYAD,DRYAD.DLG,No,F,Adult,Neutral,Gentle,Low,Gentle,Dryad in the forest area requesting acorns,female_gentle,refs/dryad_ref.wav,Locked,16,11,5
PORTAL,PORTAL,PORTAL.DLG,No,M,Unknown,Mystical,Magical,Medium,Resonant,Portal genie that trades energy cells,male_resonant,,Draft,8,8,0
Ilyich,ILYICH,ILYICH.DLG,Yes,M,Adult,Scottish,Military,Medium,Gruff,Duergar clan chief - Scottish accent military commander,male_gruff,refs/ilyich_ref.wav,Locked,4,3,1
